,Longitude,Latitude
3.73338E+14,-113.7216329,37.56053149
3.73357E+14,-113.7105215,37.56580919
3.73415E+14,-113.725522,37.57080896
3.73415E+14,-113.725522,37.57080896
3.73418E+14,-113.719133,37.5716423
3.73419E+14,-113.7291333,37.57192
3.73424E+14,-113.746634,37.57330875
3.73426E+14,-113.741356,37.5738643
3.73426E+14,-113.7485785,37.57386428
3.73426E+14,-113.7488563,37.57386427
3.73428E+14,-113.7613569,37.5744197
3.73431E+14,-113.7105215,37.57525338
3.73431E+14,-113.7105215,37.57525338
3.73432E+14,-113.709966,37.57553116
3.73432E+14,-113.709966,37.57553116
3.73432E+14,-113.755801,37.57553085
3.73442E+14,-113.721633,37.57830878
3.73442E+14,-113.721633,37.57830878
3.73443E+14,-113.7196886,37.57858656
3.73444E+14,-113.721633,37.5788643
3.73446E+14,-113.7141328,37.5794199
3.73446E+14,-113.7141328,37.5794199
3.73446E+14,-113.720522,37.57941987
3.73446E+14,-113.721633,37.57941986
3.73447E+14,-113.7071881,37.5796977
3.7345E+14,-113.6888541,37.58053117
3.73457E+14,-113.7074659,37.5824754
3.73457E+14,-113.7049659,37.5835865
3.73457E+14,-113.7135773,37.58247539
3.73458E+14,-113.8669173,37.5827521
3.73507E+14,-113.681076,37.5852533
3.7351E+14,-113.6991323,37.5860865
3.73513E+14,-113.6905209,37.58691987
3.73517E+14,-113.6913543,37.58803095
3.73524E+14,-113.7010769,37.58997527
3.73524E+14,-113.7044103,37.58997525
3.73524E+14,-113.7077438,37.5899752
3.73524E+14,-113.7124662,37.58997519
3.73527E+14,-113.698299,37.5908086
3.73543E+14,-113.6938545,37.59525296
3.73554E+14,-113.703577,37.59830836
3.73608E+14,-113.6927434,37.6021972
3.73617E+14,-113.6982992,37.6046971
3.73618E+14,-113.6624645,37.60497516
3.73619E+14,-113.6835764,37.60525277
3.73621E+14,-113.6930212,37.60580824
3.73624E+14,-113.7002437,37.6066415
3.73624E+14,-113.7013548,37.60664149
3.7363E+14,-113.6535754,37.60830848
3.73641E+14,-113.7057995,37.61136355
3.73641E+14,-113.7060773,37.61136355
3.73643E+14,-113.6988548,37.61191915
3.73644E+14,-113.6630202,37.61219719
3.73644E+14,-113.6799652,37.61219706
3.73644E+14,-113.6882989,37.612197
3.73646E+14,-113.6688537,37.61275269
3.73654E+14,-113.6852432,37.6149747
3.73656E+14,-113.6852432,37.61553027
3.73656E+14,-113.698577,37.61553016
3.73701E+14,-113.6513532,37.61691938
3.73707E+14,-113.6621869,37.6185859
3.73708E+14,-113.6613535,37.6188637
3.73709E+14,-113.6760763,37.61914135
3.73709E+14,-113.6844099,37.61914129
3.7371E+14,-113.696077,37.61941897
3.7371E+14,-113.6982993,37.61941895
3.7371E+14,-113.7019105,37.6194189
3.73723E+14,-113.6488532,37.62303036
3.73735E+14,-113.6613536,37.6263635
3.73735E+14,-113.6835766,37.6263633
3.73735E+14,-113.6930214,37.62636325
3.73736E+14,-113.6655204,37.62664124
3.73749E+14,-113.6563535,37.6302523
3.73802E+14,-113.6521867,37.63386339
3.73802E+14,-113.6527423,37.63386338
3.73802E+14,-113.6699651,37.63386324
3.73802E+14,-113.6749653,37.6338632
3.73802E+14,-113.678021,37.63386318
3.73802E+14,-113.6930215,37.63386305
3.73803E+14,-113.6594092,37.6341411
3.73826E+14,-113.6905215,37.64052956
3.73827E+14,-113.6699652,37.6408075
3.73828E+14,-113.6599649,37.64108536
3.73828E+14,-113.6771877,37.6410852
3.73853E+14,-113.6344085,37.64802985
3.73853E+14,-113.6344085,37.64802985
3.73854E+14,-113.6882993,37.64830715
3.73855E+14,-113.6605205,37.64858516
3.73903E+14,-113.6435755,37.65080748
3.73903E+14,-113.6435755,37.65080748
3.73908E+14,-113.6766322,37.65219604
3.7392E+14,-113.6699654,37.65552935
3.7392E+14,-113.6791324,37.65552926
3.73921E+14,-113.6510759,37.65580728
3.73921E+14,-113.659965,37.6558072
3.73921E+14,-113.6607984,37.6558072
3.73925E+14,-113.7260784,37.6569177
3.73936E+14,-113.6838548,37.65997355
3.73947E+14,-113.6607985,37.6630292
3.73947E+14,-113.6607985,37.6630292
3.73947E+14,-113.6699655,37.66302915
3.73948E+14,-113.6069078,37.66330749
3.73948E+14,-113.6516315,37.66330709
3.73948E+14,-113.6619096,37.66330699
3.73953E+14,-113.6696877,37.66469578
3.73953E+14,-113.6699655,37.66469577
3.74E+14,-113.6607985,37.66664025
3.74E+14,-113.6844104,37.66664
3.74011E+14,-113.6169083,37.6696961
3.74012E+14,-113.584685,37.6699742
3.74012E+14,-113.6749657,37.66997337
3.74014E+14,-113.584685,37.67052974
3.74014E+14,-113.584685,37.67052974
3.74014E+14,-113.63802,37.67052925
3.74014E+14,-113.6424647,37.6705292
3.74014E+14,-113.6544095,37.6705291
3.74015E+14,-113.647187,37.6708069
3.74015E+14,-113.6552429,37.67080686
3.74016E+14,-113.648576,37.67108469
3.74017E+14,-113.5974632,37.6713629
3.7402E+14,-113.5760736,37.67219645
3.74026E+14,-113.6244086,37.6738626
3.74026E+14,-113.6660766,37.67414
3.74029E+14,-113.6380201,37.6746958
3.74029E+14,-113.6380201,37.6746958
