,3.73338E+14,3.73357E+14,3.73415E+14,3.73415E+14,3.73418E+14,3.73419E+14,3.73424E+14,3.73426E+14,3.73426E+14,3.73426E+14,3.73428E+14,3.73431E+14,3.73431E+14,3.73432E+14,3.73432E+14,3.73432E+14,3.73442E+14,3.73442E+14,3.73443E+14,3.73444E+14,3.73446E+14,3.73446E+14,3.73446E+14,3.73446E+14,3.73447E+14,3.7345E+14,3.73457E+14,3.73457E+14,3.73457E+14,3.73458E+14,3.73507E+14,3.7351E+14,3.73513E+14,3.73517E+14,3.73524E+14,3.73524E+14,3.73524E+14,3.73524E+14,3.73527E+14,3.73543E+14
5/18/1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/1935,,,5274.62,,,,,,,,,,,5285.61,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/1935,,,5289.78,,,,,,,,,,,5285.57,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/1935,,,5289.48,,,,,,,,,,,5285.51,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/1936,,,,,,,,,,,,,,5285.73,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/1936,,,5289.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/1936,,,5289.34,,,,,,,,,,,5285.63,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/1936,,,,,,,,,,,,,,5285.77,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/1936,,,,,,,,,,,,,,5285.65,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/1936,,,5273.82,,,,,,,,,,,5285.65,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/1936,,,5288.8,,,,,,,,,,,5285.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/1937,,,5303.05,,,,,,,,,,,5289.64,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/1937,,,5307.62,,,,,,,,,,,5292.23,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/1937,,,5306.82,,,,,,,,,,,5291.71,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/1937,,,5304.37,,,,,,,,,,,5289.53,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/1937,,,5302.23,,,,,,,,,,,5288.55,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/1937,,,5300.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/1937,,,5300.01,,,,,,,,,,,5287.75,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/1937,,,5299.89,,,,,,,,,,,5287.73,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/1938,,,5298.77,,,,,,,,,,,5287.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/1938,,,5298.25,,,,,,,,,,,5287.28,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/1938,,,5304.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/1938,,,5306.58,,,,,,,,,,,5291.98,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/1938,,,5306.57,,,,,,,,,,,5291.95,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/1938,,,5305.43,,,,,,,,,,,5290.91,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/1938,,,5305.18,,,,,,,,,,,5290.56,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1938,,,5303.34,,,,,,,,,,,5289.45,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/1938,,,5288.45,,,,,,,,,,,5289.08,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/1938,,,5285.07,,,,,,,,,,,5288.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/1938,,,5300.39,,,,,,,,,,,5288.47,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/1938,,,5299.52,,,,,,,,,,,5288.16,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/1938,,,5298.9,,,,,,,,,,,5288.14,,,,,,,,,,,,,,,,,,,,,,,,,,
