,0
1948-01-01,0.0
1948-02-01,0.0024721799946947447
1948-03-01,0.01841507497791664
1948-04-01,-0.00331445613069826
1948-05-01,-0.05584724337428824
1948-06-01,-0.1337369556376732
1948-07-01,-0.19412274876068963
1948-08-01,-0.22305909777762234
1948-09-01,-0.16845274255635317
1948-10-01,-0.12620972219848145
1948-11-01,-0.0818631647959737
1948-12-01,-0.05419631053776671
1949-01-01,-0.021550412359370358
1949-02-01,-0.011714957802070759
1949-03-01,-0.0006081030975071978
1949-04-01,-0.00624519043282007
1949-05-01,0.006920230722333076
1949-06-01,-0.11051688503601387
1949-07-01,-0.21695389894648723
1949-08-01,-0.25875666143587195
1949-09-01,-0.18433546680285057
1949-10-01,-0.07236835394261332
1949-11-01,-0.03853867847741468
1949-12-01,-0.02751481214314838
1950-01-01,-0.007197181544313933
1950-02-01,-0.0007298853974802535
1950-03-01,-0.001424074990094823
1950-04-01,0.0021140099285791507
1950-05-01,-0.028809707642601358
1950-06-01,-0.12920962669779198
1950-07-01,-0.2612643369226589
1950-08-01,-0.40742797425849786
1950-09-01,-0.32219492244255077
1950-10-01,-0.1602199947449153
1950-11-01,-0.09329164624010722
1950-12-01,-0.054508703792072136
1951-01-01,-0.04380065483194396
1951-02-01,-0.03649701574307983
1951-03-01,-0.03151894210471564
1951-04-01,-0.035149224711002534
1951-05-01,-0.0718983200470801
1951-06-01,-0.15620674308727764
1951-07-01,-0.2019290384755438
1951-08-01,-0.21922885050417507
1951-09-01,-0.2122718221395969
1951-10-01,-0.12209477072244766
1951-11-01,-0.0782135907421916
1951-12-01,-0.06690916779223373
1952-01-01,-0.05635779450202035
1952-02-01,-0.06451915611559203
1952-03-01,-0.08235072500171634
1952-04-01,-0.10357796523018135
1952-05-01,-0.13876980301619815
1952-06-01,-0.19544119884881297
1952-07-01,-0.24758423109132685
1952-08-01,-0.22296259633643284
1952-09-01,-0.15449431218305695
1952-10-01,-0.09035101588936041
1952-11-01,-0.05659425165650574
1952-12-01,-0.051558554438275
1953-01-01,-0.05189002292967007
1953-02-01,-0.056191989607496676
1953-03-01,-0.07048269546688606
1953-04-01,-0.09768399476418729
1953-05-01,-0.23366411752544303
1953-06-01,-0.3805117413834375
1953-07-01,-0.49025143703855967
1953-08-01,-0.4796070416057579
1953-09-01,-0.3804101816578802
1953-10-01,-0.22846926536710468
1953-11-01,-0.1501633174817136
1953-12-01,-0.09796464416196565
1954-01-01,-0.10063068540309603
1954-02-01,-0.09206695547564511
1954-03-01,-0.08956422094664651
1954-04-01,-0.08885053087434046
1954-05-01,-0.09649051898532558
1954-06-01,-0.10855509668191606
1954-07-01,-0.12998246253497645
1954-08-01,-0.14871476449100784
1954-09-01,-0.15827587448527727
1954-10-01,-0.16289721817167735
1954-11-01,-0.1618110438802069
1954-12-01,-0.1546277494857175
1955-01-01,-0.1535019455992105
1955-02-01,-0.1438205567740675
1955-03-01,-0.13714198116797646
1955-04-01,-0.13961874841003036
1955-05-01,-0.14788283903048974
1955-06-01,-0.1598688217295959
1955-07-01,-0.18171671879798243
1955-08-01,-0.20496487854361167
1955-09-01,-0.21262078494799516
1955-10-01,-0.22356615983976227
1955-11-01,-0.21893983416660007
1955-12-01,-0.207935693792093
1956-01-01,-0.2080051814351077
1956-02-01,-0.19508331974120302
1956-03-01,-0.19263378974978676
1956-04-01,-0.184310889516886
1956-05-01,-0.19626734139631996
1956-06-01,-0.2132612021748065
1956-07-01,-0.21768826475032
1956-08-01,-0.23604173228691336
1956-09-01,-0.2587570713636647
1956-10-01,-0.264214307616626
1956-11-01,-0.25962566396634207
1956-12-01,-0.2717065129188473
1957-01-01,-0.2658809230673549
1957-02-01,-0.25865824109403573
1957-03-01,-0.2501972153093071
1957-04-01,-0.24094130371686287
1957-05-01,-0.24465509685742154
1957-06-01,-0.25094446904774215
1957-07-01,-0.27918028768177944
1957-08-01,-0.3169747258615457
1957-09-01,-0.323229406115785
1957-10-01,-0.32910542989401054
1957-11-01,-0.32901514559777284
1957-12-01,-0.32618850918045494
1958-01-01,-0.30519283135659614
1958-02-01,-0.288871232381681
1958-03-01,-0.2724279017507718
1958-04-01,-0.2604286697403308
1958-05-01,-0.25717023856753785
1958-06-01,-0.2634688673080428
1958-07-01,-0.28632903646917773
1958-08-01,-0.3147387663013649
1958-09-01,-0.32778077901632297
1958-10-01,-0.33956406670935885
1958-11-01,-0.33624224717433365
1958-12-01,-0.3253519712519765
1959-01-01,-0.31534227042503615
1959-02-01,-0.3177842350083098
1959-03-01,-0.31464504552969536
1959-04-01,-0.30455974666939417
1959-05-01,-0.31161056757294625
1959-06-01,-0.3306217923267045
1959-07-01,-0.3489987208108644
1959-08-01,-0.3761688568449947
1959-09-01,-0.3866374231305868
1959-10-01,-0.39463780395766584
1959-11-01,-0.3954343206265907
1959-12-01,-0.3941026266948632
1960-01-01,-0.38807375178374315
1960-02-01,-0.3776173626055001
1960-03-01,-0.37259194364369347
1960-04-01,-0.3715374263740746
1960-05-01,-0.3780001392573538
1960-06-01,-0.399187117715412
1960-07-01,-0.419443082013808
1960-08-01,-0.44605563951000393
1960-09-01,-0.46372455561246834
1960-10-01,-0.4772124726764654
1960-11-01,-0.48011391117154295
1960-12-01,-0.44882826407637183
1961-01-01,-0.4369671982097315
1961-02-01,-0.43086102703188484
1961-03-01,-0.42615399917792074
1961-04-01,-0.4218903051901642
1961-05-01,-0.42760249081374574
1961-06-01,-0.44239231130462575
1961-07-01,-0.45837916496400116
1961-08-01,-0.48246882339003166
1961-09-01,-0.49538373665444835
1961-10-01,-0.5017573233106928
1961-11-01,-0.49455543035223765
1961-12-01,-0.48112821840094167
1962-01-01,-0.4584441287712849
1962-02-01,-0.44465743350821796
1962-03-01,-0.42939479748778847
1962-04-01,-0.42558192531887873
1962-05-01,-0.43505489046997825
1962-06-01,-0.45482920742157396
1962-07-01,-0.47845628963151376
1962-08-01,-0.5062248092097238
1962-09-01,-0.5184487396775995
1962-10-01,-0.522575455680193
1962-11-01,-0.5155728601359549
1962-12-01,-0.5122867339933647
1963-01-01,-0.5022776985823718
1963-02-01,-0.4927590274796212
1963-03-01,-0.48380325679752484
1963-04-01,-0.4780781287639299
1963-05-01,-0.4896667969121843
1963-06-01,-0.5077183836266097
1963-07-01,-0.5346295233897737
1963-08-01,-0.5629030890500665
1963-09-01,-0.5678145846154804
1963-10-01,-0.5717564282726953
1963-11-01,-0.5689372070365913
1963-12-01,-0.5636994531751774
1964-01-01,-0.5480299287644611
1964-02-01,-0.5328574069483221
1964-03-01,-0.5261283552998253
1964-04-01,-0.5270773902651171
1964-05-01,-0.5392147394941381
1964-06-01,-0.5562565923863191
1964-07-01,-0.5787864702685613
1964-08-01,-0.6027407375054923
1964-09-01,-0.6141320468546742
1964-10-01,-0.6204111245472507
1964-11-01,-0.6174231003959625
1964-12-01,-0.6135392037199365
1965-01-01,-0.5958659361211426
1965-02-01,-0.581006587033278
1965-03-01,-0.5712785759985409
1965-04-01,-0.5720364812527614
1965-05-01,-0.5852569007050031
1965-06-01,-0.60071027180693
1965-07-01,-0.6249297688537828
1965-08-01,-0.6502021475180069
1965-09-01,-0.6626263470614204
1965-10-01,-0.6703820212903978
1965-11-01,-0.6637551014927104
1965-12-01,-0.6548227308234916
1966-01-01,-0.6361638140551196
1966-02-01,-0.6180605670659632
1966-03-01,-0.6088247585239995
1966-04-01,-0.6093390405828194
1966-05-01,-0.6370807429984913
1966-06-01,-0.6692124255249693
1966-07-01,-0.7112305200613619
1966-08-01,-0.7484343781932477
1966-09-01,-0.7591494535966744
1966-10-01,-0.7530093058461509
1966-11-01,-0.7305007985776153
1966-12-01,-0.7132015966136185
1967-01-01,-0.6902156128244319
1967-02-01,-0.6730587771969254
1967-03-01,-0.6668162830683028
1967-04-01,-0.6708444124070875
1967-05-01,-0.6938611888491114
1967-06-01,-0.7064293287404749
1967-07-01,-0.7571789802447678
1967-08-01,-0.7926156757792926
1967-09-01,-0.8046135463201103
1967-10-01,-0.8003181172282378
1967-11-01,-0.789509701563824
1967-12-01,-0.7713120050654666
1968-01-01,-0.7309338411240969
1968-02-01,-0.7161161313509217
1968-03-01,-0.7079106429744887
1968-04-01,-0.7095993435793226
1968-05-01,-0.7279333674313867
1968-06-01,-0.7445950763871197
1968-07-01,-0.7847291017123766
1968-08-01,-0.8194288616756518
1968-09-01,-0.824232343053242
1968-10-01,-0.8341441689923018
1968-11-01,-0.8203215330360893
1968-12-01,-0.8002983926601575
1969-01-01,-0.7494856241114887
1969-02-01,-0.7242744979387541
1969-03-01,-0.7079968973313329
1969-04-01,-0.7004722710618617
1969-05-01,-0.7306218879427959
1969-06-01,-0.7750600074887128
1969-07-01,-0.8031384017347322
1969-08-01,-0.839314512921293
1969-09-01,-0.8479376155826679
1969-10-01,-0.8405700588347603
1969-11-01,-0.820378869626021
1969-12-01,-0.7995312111900166
1970-01-01,-0.7706135990384223
1970-02-01,-0.7483433633133973
1970-03-01,-0.731950920075203
1970-04-01,-0.7322945170350755
1970-05-01,-0.7504473809671329
1970-06-01,-0.7706234870536283
1970-07-01,-0.8000435308398675
1970-08-01,-0.8305106416029662
1970-09-01,-0.8435659417099721
1970-10-01,-0.8515606614818315
1970-11-01,-0.8427425869535096
1970-12-01,-0.8277749765896196
1971-01-01,-0.8011783620499331
1971-02-01,-0.7803756970193236
1971-03-01,-0.7715667234561104
1971-04-01,-0.7862300878833383
1971-05-01,-0.8093574385316562
1971-06-01,-0.8349390213644002
1971-07-01,-0.8666561647330565
1971-08-01,-0.9050532522737772
1971-09-01,-0.9182229175922872
1971-10-01,-0.92870420868799
1971-11-01,-0.9110605850558376
1971-12-01,-0.8910350927570015
1972-01-01,-0.8591278103167536
1972-02-01,-0.8315169517849152
1972-03-01,-0.8178284807345739
1972-04-01,-0.8186961260685376
1972-05-01,-0.836740762467275
1972-06-01,-0.8589515380959303
1972-07-01,-0.8836129056208973
1972-08-01,-0.9137126692670609
1972-09-01,-0.9274104657525711
1972-10-01,-0.9411376442030917
1972-11-01,-0.935778968406497
1972-12-01,-0.9226251290782534
1973-01-01,-0.8997755388018813
1973-02-01,-0.8761249767166739
1973-03-01,-0.8590645890397229
1973-04-01,-0.8578216814015213
1973-05-01,-0.8570979286959939
1973-06-01,-0.8651222936978059
1973-07-01,-0.8762799503284743
1973-08-01,-0.8944959016849686
1973-09-01,-0.8930274005603119
1973-10-01,-0.8967560142366903
1973-11-01,-0.8801822853476067
1973-12-01,-0.864523161347282
1974-01-01,-0.8415270796347112
1974-02-01,-0.8270671117170796
1974-03-01,-0.8206258743335446
1974-04-01,-0.8386040004748229
1974-05-01,-0.8616032708931963
1974-06-01,-0.8938529658072537
1974-07-01,-0.9338596695800542
1974-08-01,-0.9705014832010023
1974-09-01,-0.9928562607814785
1974-10-01,-1.005592181935557
1974-11-01,-0.9996341466434527
1974-12-01,-0.9788536392031492
1975-01-01,-0.9538117636540728
1975-02-01,-0.9225326891863166
1975-03-01,-0.914035886337966
1975-04-01,-0.9166955620270909
1975-05-01,-0.9334655711843795
1975-06-01,-0.9534499727465473
