,Train ME,Train RMSE,Train MAE,Train Points,Train r2,Validation ME,Validation RMSE,Validation MAE,Validation Points,Validation r2,Test ME,Test RMSE,Test MAE,Test Points,Test r2,Comp R2
373338113431502,,,,,,,,,,,,,,,,
373418113430601,,,,,,,,,,,,,,,,
373419113434201,,,,,,,,,,,,,,,,0.9215303767205796
373446113431102,,,,,,,,,,,,,,,,
373457113423801,,,,,,,,,,,,,,,,
373527113415101,,,,,,,,,,,,,,,,
373617113415101,,,,,,,,,,,,,,,,
373641113421801,,,,,,,,,,,,,,,,
373643113415301,,,,,,,,,,,,,,,,
373644113411501,,,,,,,,,,,,,,,,
373735113393801,,,,,,,,,,,,,,,,
373854113411501,,,,,,,,,,,,,,,,
374015113391501,,,,,,,,,,,,,,,,
374020113343101,,,,,,,,,,,,,,,,
374041113373501,,,,,,,,,,,,,,,,
374053113415101,,,,,,,,,,,,,,,,
374127113335201,,,,,,,,,,,,,,,,
374132113390301,,,,,,,,,,,,,,,,
374155113372601,,,,,,,,,,,,,,,,
374227113412901,,,,,,,,,,,,,,,,
374228113420101,,,,,,,,,,,,,,,,
374252113385801,,,,,,,,,,,,,,,,
374252113391801,,,,,,,,,,,,,,,,
374306113422501,,,,,,,,,,,,,,,,
374312113405601,,,,,,,,,,,,,,,,
374319113415201,,,,,,,,,,,,,,,,
374321113421001,,,,,,,,,,,,,,,,
374344113322403,,,,,,,,,,,,,,,,
374346113390101,,,,,,,,,,,,,,,,
374411113305101,,,,,,,,,,,,,,,,
374445113444501,,,,,,,,,,,,,,,,
374503113313701,,,,,,,,,,,,,,,,
374503113361001,,,,,,,,,,,,,,,,
374504113370201,,,,,,,,,,,,,,,,
374505113433701,,,,,,,,,,,,,,,,
374524113421501,,,,,,,,,,,,,,,,
374543113391201,,,,,,,,,,,,,,,,
374623113381301,,,,,,,,,,,,,,,,
374648113430901,,,,,,,,,,,,,,,,
374649113310201,,,,,,,,,,,,,,,,
374649113310301,,,,,,,,,,,,,,,,
374649113342501,,,,,,,,,,,,,,,,
374649113444801,,,,,,,,,,,,,,,,
374729113413002,,,,,,,,,,,,,,,,
374741113390101,,,,,,,,,,,,,,,,
374808113420301,,,,,,,,,,,,,,,,
374833113402401,,,,,,,,,,,,,,,,
374901113391301,,,,,,,,,,,,,,,,
374926113384601,,,,,,,,,,,,,,,,
375009113374501,,,,,,,,,,,,,,,,
375025113411101,,,,,,,,,,,,,,,,
375128113391501,,,,,,,,,,,,,,,,
375245113290001,,,,,,,,,,,,,,,,
375324113345301,,,,,,,,,,,,,,,,
375429113403901,,,,,,,,,,,,,,,,
375531113361901,,,,,,,,,,,,,,,,
375754113274501,,,,,,,,,,,,,,,,
373419113434201,-0.09185827958227075,1.8168904540905877,1.0901629571566083,384.6,0.9657685942028593,-0.08716767889045238,2.3319415374289454,1.45260627384422,165.0,0.9405347305736477,-0.17119250152505544,2.162023618207921,1.4303485752330711,137.4,0.8876199082056049,0.9215303767205796
